Cruise,Station,Depth,Bottle,Timepoint,Treatment,Treatment_Btl,Hours,DOC_ave,DOC_sd,TOC_ave,TOC_sd,PTOC_ave,PTOC_sd,PDOC_ave,PDOC_sd
AT34,2,200,DB13,8,TW13,TW13-B,192,,,,,,,,
AT34,2,200,DB13,9,TW13,TW13-B,216,51.8,0.5,,,,,,
AT34,2,200,DB13,10,TW13,TW13-B,264,51.4,0.3,,,,,,
AT34,2,200,GF75,10,TW13,TW13-B,264,,,,,,,,
AT34,3,10,Niskin,0,,,0,,,,,,,,
AT34,3,10,GF75,0,,,0,,,,,,,,
AT34,3,10,SA,0,Control,Control-A,0,60.3,0.6,,,,,,
AT34,3,10,SA,1,Control,Control-A,24,61.8,0.3,,,,,,
AT34,3,10,SA,2,Control,Control-A,48,,,,,,,,
AT34,3,10,SA,3,Control,Control-A,72,,,,,,,,
AT34,3,10,SA,4,Control,Control-A,96,59.2,1.1,,,,,,
AT34,3,10,SA,5,Control,Control-A,120,,,,,,,,
AT34,3,10,SA,6,Control,Control-A,144,,,,,,,,
AT34,3,10,SA,7,Control,Control-A,168,58.2,0.5,,,,,,
AT34,3,10,SA,8,Control,Control-A,216,,,,,,,,
AT34,3,10,SA,9,Control,Control-A,240,57.4,0.3,,,,,,
AT34,3,10,SA,10,Control,Control-A,288,,,,,,,,
AT34,3,10,SA,11,Control,Control-A,312,57.7,0.6,,,,,,
AT34,3,10,SA,12,Control,Control-A,1032,62.4,0.2,,,,,,
AT34,3,10,SA,13,Control,Control-A,1512,61,0.8,,,,,,
AT34,3,10,SA,14,Control,Control-A,2640,57.3,0.6,,,,,,
AT34,3,10,GF75,9,Control,Control-A,240,,,,,,,,
AT34,3,10,SB,0,Control,Control-B,0,60.3,1,,,,,,
AT34,3,10,SB,1,Control,Control-B,24,60.2,0.2,,,,,,
AT34,3,10,SB,2,Control,Control-B,48,,,,,,,,
AT34,3,10,SB,3,Control,Control-B,72,,,,,,,,
AT34,3,10,SB,4,Control,Control-B,96,59.1,2.7,,,,,,
AT34,3,10,SB,5,Control,Control-B,120,,,,,,,,
AT34,3,10,SB,6,Control,Control-B,144,,,,,,,,
AT34,3,10,SB,7,Control,Control-B,168,57.8,0.1,,,,,,
AT34,3,10,SB,8,Control,Control-B,216,,,,,,,,
AT34,3,10,SB,9,Control,Control-B,240,58.2,0.7,,,,,,
AT34,3,10,SB,10,Control,Control-B,288,,,,,,,,
AT34,3,10,SB,11,Control,Control-B,312,58.6,0.3,,,,,,
AT34,3,10,SB,12,Control,Control-B,1032,60.7,0.8,,,,,,
AT34,3,10,SB,13,Control,Control-B,1512,61.2,2.6,,,,,,
AT34,3,10,SB,14,Control,Control-B,2640,62.8,2.6,,,,,,
AT34,3,10,GF75,9,Control,Control-B,240,,,,,,,,
AT34,3,200,Niskin,0,,,0,,,,,,,,
AT34,3,200,GF75,0,,,0,,,,,,,,
AT34,3,200,DA,0,Control,Control-A,0,52.1,0.3,,,,,,
AT34,3,200,DA,1,Control,Control-A,24,52,0.5,,,,,,
AT34,3,200,DA,2,Control,Control-A,48,,,,,,,,
AT34,3,200,DA,3,Control,Control-A,72,,,,,,,,
AT34,3,200,DA,4,Control,Control-A,96,52.6,0.5,,,,,,
AT34,3,200,DA,5,Control,Control-A,120,,,,,,,,
AT34,3,200,DA,6,Control,Control-A,144,,,,,,,,
AT34,3,200,DA,7,Control,Control-A,168,52.8,0.4,,,,,,
AT34,3,200,DA,8,Control,Control-A,216,,,,,,,,
AT34,3,200,DA,9,Control,Control-A,240,54.1,0.1,,,,,,
AT34,3,200,DA,10,Control,Control-A,288,54.7,0.1,,,,,,
AT34,3,200,DA,11,Control,Control-A,312,54.6,0,,,,,,
AT34,3,200,DA,12,Control,Control-A,1032,59.7,2.8,,,,,,
AT34,3,200,DA,13,Control,Control-A,1512,57.8,0.5,,,,,,
AT34,3,200,DA,14,Control,Control-A,2640,58.9,0.1,,,,,,
AT34,3,200,GF75,10,Control,Control-A,288,,,,,,,,
AT34,3,200,DB,0,Control,Control-B,0,53.4,1.1,,,,,,
AT34,3,200,DB,1,Control,Control-B,24,52.2,0.8,,,,,,
AT34,3,200,DB,2,Control,Control-B,48,,,,,,,,
AT34,3,200,DB,3,Control,Control-B,72,,,,,,,,
AT34,3,200,DB,4,Control,Control-B,96,52.7,0.8,,,,,,
AT34,3,200,DB,5,Control,Control-B,120,,,,,,,,
AT34,3,200,DB,6,Control,Control-B,144,,,,,,,,
AT34,3,200,DB,7,Control,Control-B,168,53.4,0.1,,,,,,
AT34,3,200,DB,8,Control,Control-B,216,,,,,,,,
AT34,3,200,DB,9,Control,Control-B,240,53.5,0,,,,,,
AT34,3,200,DB,10,Control,Control-B,288,54,0.3,,,,,,
AT34,3,200,DB,11,Control,Control-B,312,53.7,0.8,,,,,,
AT34,3,200,DB,12,Control,Control-B,1032,63.2,0,,,,,,
AT34,3,200,DB,13,Control,Control-B,1512,58,0.2,,,,,,
AT34,3,200,DB,14,Control,Control-B,2640,60.3,0.4,,,,,,
AT34,3,200,GF75,10,Control,Control-B,288,,,,,,,,
AT34,4,10,Niskin,0,,,0,54.6,0,,,,,,
AT34,4,10,GF75,0,,,0,,,,,,,,
AT34,4,10,SA,0,Control,Control-A,0,53.5,0.7,,,,,,
AT34,4,10,SA,1,Control,Control-A,24,54.4,0.3,,,,,,
AT34,4,10,SA,2,Control,Control-A,48,,,,,,,,
AT34,4,10,SA,3,Control,Control-A,96,54.3,0.1,,,,,,
AT34,4,10,SA,4,Control,Control-A,120,,,,,,,,
AT34,4,10,SA,5,Control,Control-A,144,,,,,,,,
AT34,4,10,SA,6,Control,Control-A,168,54.2,1.3,,,,,,
AT34,4,10,SA,7,Control,Control-A,192,56.8,1.1,,,,,,
AT34,4,10,SA,8,Control,Control-A,912,58.9,0.1,,,,,,
AT34,4,10,SA,9,Control,Control-A,1392,59.9,0.6,,,,,,
AT34,4,10,SA,10,Control,Control-A,2544,58.7,2,,,,,,
AT34,4,10,GF75,6,Control,Control-A,168,,,,,,,,
AT34,4,10,SB,0,Control,Control-B,0,54.7,1.1,,,,,,
AT34,4,10,SB,1,Control,Control-B,24,53.9,0.4,,,,,,
AT34,4,10,SB,2,Control,Control-B,48,,,,,,,,
AT34,4,10,SB,3,Control,Control-B,96,52.7,0,,,,,,
AT34,4,10,SB,4,Control,Control-B,120,,,,,,,,
AT34,4,10,SB,5,Control,Control-B,144,,,,,,,,
AT34,4,10,SB,6,Control,Control-B,168,52.6,0,,,,,,
AT34,4,10,SB,7,Control,Control-B,192,55.6,0.4,,,,,,
AT34,4,10,SB,8,Control,Control-B,912,57.7,0.2,,,,,,
AT34,4,10,SB,9,Control,Control-B,1392,57.9,1.2,,,,,,
AT34,4,10,SB,10,Control,Control-B,2544,61,0.3,,,,,,
AT34,4,10,GF75,6,Control,Control-B,168,,,,,,,,
AT34,4,200,Niskin,0,,,0,53.4,0,,,,,,
AT34,4,200,GF75,0,,,0,,,,,,,,
AT34,4,200,DA,0,Control,Control-A,0,52.8,0.2,,,,,,
AT34,4,200,DA,1,Control,Control-A,24,53.5,1.5,,,,,,
AT34,4,200,DA,2,Control,Control-A,48,,,,,,,,
AT34,4,200,DA,3,Control,Control-A,96,53.8,1,,,,,,
AT34,4,200,DA,4,Control,Control-A,120,,,,,,,,
AT34,4,200,DA,5,Control,Control-A,144,,,,,,,,
AT34,4,200,DA,6,Control,Control-A,168,53.9,0.5,,,,,,
AT34,4,200,DA,7,Control,Control-A,192,54.9,0.6,,,,,,
