Cruise,Station,Depth,Bottle,Timepoint,Treatment,Treatment_Btl,Hours,cellsperL,sd_cellsperL,p_cellsperL,p_sdcellsperL
AT34,3,200,DA,8,Control,Control-A,216,196761752,20960789,,
AT34,3,200,DA,9,Control,Control-A,240,178486141,22160158,,
AT34,3,200,DA,10,Control,Control-A,288,247171865,16355528,,
AT34,3,200,DA,11,Control,Control-A,312,292156177,17245266,,
AT34,3,200,DA,12,Control,Control-A,1032,,,,
AT34,3,200,DA,13,Control,Control-A,1512,,,,
AT34,3,200,DA,14,Control,Control-A,2640,,,,
AT34,3,200,GF75,10,Control,Control-A,288,,,,
AT34,3,200,DB,0,Control,Control-B,0,67234617,6327283,,
AT34,3,200,DB,1,Control,Control-B,24,103485375,14594973,,
AT34,3,200,DB,2,Control,Control-B,48,104038772,7955594,,
AT34,3,200,DB,3,Control,Control-B,72,110402846,7655891,,
AT34,3,200,DB,4,Control,Control-B,96,107082460,14760155,,
AT34,3,200,DB,5,Control,Control-B,120,123585932,8716340,,
AT34,3,200,DB,6,Control,Control-B,144,123961090,16281141,,
AT34,3,200,DB,7,Control,Control-B,168,237961022,45708851,,
AT34,3,200,DB,8,Control,Control-B,216,194242602,18893128,,
AT34,3,200,DB,9,Control,Control-B,240,207524147,24506905,,
AT34,3,200,DB,10,Control,Control-B,288,288873613,32247258,,
AT34,3,200,DB,11,Control,Control-B,312,353067749,24164330,,
AT34,3,200,DB,12,Control,Control-B,1032,,,,
AT34,3,200,DB,13,Control,Control-B,1512,,,,
AT34,3,200,DB,14,Control,Control-B,2640,,,,
AT34,3,200,GF75,10,Control,Control-B,288,,,,
AT34,4,10,Niskin,0,,,0,1306223388,80007320,,
AT34,4,10,GF75,0,,,0,162846434,21936792,,
AT34,4,10,SA,0,Control,Control-A,0,224437858,17395358,,
AT34,4,10,SA,1,Control,Control-A,24,474760259,60345136,,
AT34,4,10,SA,2,Control,Control-A,48,1270524654,223515921,,
AT34,4,10,SA,3,Control,Control-A,96,907747945,81525587,,
AT34,4,10,SA,4,Control,Control-A,120,949668809,45254184,,
AT34,4,10,SA,5,Control,Control-A,144,1257625927,119372930,,
AT34,4,10,SA,6,Control,Control-A,168,1376939156,114817594,,
AT34,4,10,SA,7,Control,Control-A,192,1567881102,161258027,,
AT34,4,10,SA,8,Control,Control-A,912,,,,
AT34,4,10,SA,9,Control,Control-A,1392,,,,
AT34,4,10,SA,10,Control,Control-A,2544,,,,
AT34,4,10,GF75,6,Control,Control-A,168,206917086,28691817,,
AT34,4,10,SB,0,Control,Control-B,0,267844499,20072061,,
AT34,4,10,SB,1,Control,Control-B,24,479611362,44340086,,
AT34,4,10,SB,2,Control,Control-B,48,1859416356,162404514,,
AT34,4,10,SB,3,Control,Control-B,96,1211941018,106163652,,
AT34,4,10,SB,4,Control,Control-B,120,1044077041,53745430,,
AT34,4,10,SB,5,Control,Control-B,144,1444982949,140514950,,
AT34,4,10,SB,6,Control,Control-B,168,1490484539,131533952,,
AT34,4,10,SB,7,Control,Control-B,192,1540290335,128367500,,
AT34,4,10,SB,8,Control,Control-B,912,,,,
AT34,4,10,SB,9,Control,Control-B,1392,,,,
AT34,4,10,SB,10,Control,Control-B,2544,,,,
AT34,4,10,GF75,6,Control,Control-B,168,293300794,26375686,,
AT34,4,200,Niskin,0,,,0,926429297,68483391,,
AT34,4,200,GF75,0,,,0,187417363,25429844,,
AT34,4,200,DA,0,Control,Control-A,0,206784468,15883846,,
AT34,4,200,DA,1,Control,Control-A,24,256370540,12969106,,
AT34,4,200,DA,2,Control,Control-A,48,316824993,22370323,,
AT34,4,200,DA,3,Control,Control-A,96,420820983,37965218,,
AT34,4,200,DA,4,Control,Control-A,120,396031241,27077309,,
AT34,4,200,DA,5,Control,Control-A,144,315615737,28330899,,
AT34,4,200,DA,6,Control,Control-A,168,275624706,19362056,,
AT34,4,200,DA,7,Control,Control-A,192,279581041,18273531,,
AT34,4,200,DA,8,Control,Control-A,912,,,,
AT34,4,200,DA,9,Control,Control-A,1392,,,,
AT34,4,200,DA,10,Control,Control-A,2544,,,,
AT34,4,200,GF75,6,Control,Control-A,168,117378420,13698046,,
AT34,4,200,DB,0,Control,Control-B,0,219698897,14300570,,
AT34,4,200,DB,1,Control,Control-B,24,263228188,14165534,,
AT34,4,200,DB,2,Control,Control-B,48,345320180,25319584,,
AT34,4,200,DB,3,Control,Control-B,96,463009430,33055504,,
AT34,4,200,DB,4,Control,Control-B,120,460011859,35159088,,
AT34,4,200,DB,5,Control,Control-B,144,352099303,19687469,,
AT34,4,200,DB,6,Control,Control-B,168,320278933,29537955,,
AT34,4,200,DB,7,Control,Control-B,192,284999828,26249959,,
AT34,4,200,DB,8,Control,Control-B,912,,,,
AT34,4,200,DB,9,Control,Control-B,1392,,,,
AT34,4,200,DB,10,Control,Control-B,2544,,,,
AT34,4,200,GF75,6,Control,Control-B,168,143514477,10643042,,
AT34,5,10,Niskin,0,,,0,1989796860,251622751,,
AT34,5,10,GF75,0,,,0,317742527,22950381,,
AT34,5,10,SA,0,Control,Control-A,0,533475407,54671662,,
AT34,5,10,SA,1,Control,Control-A,48,1027061174,36491027,,
AT34,5,10,SA,2,Control,Control-A,72,,,,
AT34,5,10,SA,3,Control,Control-A,96,1696828333,124680528,,
AT34,5,10,SA,4,Control,Control-A,120,2684446897,258898981,,
AT34,5,10,SA,5,Control,Control-A,144,1383925967,124923510,,
AT34,5,10,SA,6,Control,Control-A,888,,,,
AT34,5,10,SA,7,Control,Control-A,1368,,,,
AT34,5,10,SA,8,Control,Control-A,2496,,,,
